SN,Date,IDD_CALL_TIMES,SMS_RECEIVE_CNT,SMS_SEND_CNT,CALLING_TIMES,Calling_IMEI ,Called_IMEI ,Missed_IDD_calling,CALLING_DURATION,CALLED_DURATION,IDD_CALLING_TIMES,CELL_COUNT,CALLING_CELL_COUNT,CALLED_CELL_COUNT,IDD_SMS_CNT,IS_FRAUD
1,20191223,0,0,0,8,3,8,1,1954,0,0,2,2,0,0,1
2,20191223,0,0,0,8,3,8,1,2041,0,0,2,2,0,0,1
3,20191223,0,0,0,5,2,5,1,873,0,0,7,7,0,0,1
4,20191223,0,0,0,14,5,14,2,2557,0,0,2,2,0,0,1
5,20191223,0,0,0,8,3,8,1,1490,0,0,2,2,0,0,1
6,20191223,0,0,0,5,2,5,1,1549,0,0,3,3,0,0,1
7,20191223,0,0,0,5,2,5,1,879,0,0,3,3,0,0,1
8,20191223,0,0,0,4,1,4,1,1144,0,0,2,2,0,0,1
9,20191223,0,0,0,4,1,4,1,1427,0,0,4,4,0,0,1
10,20191223,0,0,0,5,2,5,1,733,0,0,5,5,0,0,1
11,20191223,0,0,0,6,2,6,1,1527,0,0,4,4,0,0,1
12,20191223,0,0,0,9,3,9,1,1007,0,0,1,1,0,0,1
13,20191223,0,0,0,4,1,4,1,760,0,0,2,2,0,0,1
14,20191223,0,0,0,9,3,9,1,1561,0,0,1,1,0,0,1
15,20191223,0,0,0,4,1,4,1,1227,0,0,4,4,0,0,1
16,20191223,0,0,0,4,1,4,1,870,0,0,2,2,0,0,1
17,20191223,0,0,0,11,4,11,2,3340,0,0,2,2,0,0,1
18,20191223,0,0,0,5,2,5,1,1167,0,0,2,2,0,0,1
19,20191223,0,0,0,4,1,4,1,1064,0,0,3,3,0,0,1
20,20191223,0,0,0,9,3,9,2,2394,0,0,3,3,0,0,1
21,20191223,0,0,0,4,1,4,1,1143,0,0,6,6,0,0,1
22,20191223,0,0,0,12,4,12,2,2383,0,0,2,2,0,0,1
23,20191223,0,0,0,4,1,4,1,1550,0,0,2,2,0,0,1
24,20191223,0,0,0,5,2,5,1,1244,0,0,3,3,0,0,1
25,20191223,0,0,0,6,2,6,1,749,0,0,2,2,0,0,1
26,20191223,0,0,0,4,1,4,1,171,0,0,5,5,0,0,1
27,20191223,0,0,0,8,3,8,1,1007,0,0,2,2,0,0,1
28,20191223,0,0,0,4,1,4,1,916,0,0,1,1,0,0,1
29,20191223,0,0,0,9,3,9,2,1880,0,0,2,2,0,0,1
30,20191223,0,0,0,3,1,3,1,230,0,0,10,10,0,0,1
31,20191223,0,0,0,10,3,10,2,1919,0,0,5,5,0,0,1
32,20191223,0,0,0,6,2,6,1,2674,0,0,3,3,0,0,1
33,20191223,0,0,0,4,1,4,1,144,0,0,0,0,0,0,1
34,20191223,0,0,0,6,2,6,1,1384,0,0,2,2,0,0,1
35,20191223,0,0,0,9,3,9,1,1434,0,0,2,2,0,0,1
36,20191223,0,0,0,4,1,4,1,969,0,0,4,4,0,0,1
37,20191223,0,0,0,7,2,7,1,1401,0,0,2,2,0,0,1
38,20191223,0,0,0,6,2,6,1,1551,0,0,1,1,0,0,1
39,20191223,0,0,0,7,2,7,1,2181,0,0,7,7,0,0,1
