 SN,SUB_NO,IS_FRAUD,CELL_A,BN,AN_Cell_ID_Risk_area,CELL_LONGITUDE,CELL_LATITUDE,AN_Cloned-IMEI_Flag,BN_Unsuccessful_IDD_Call,BN_IDD_SMS
1,M415M2256,1,6.36E+14,251Mi10783150,TRUE,39.5671997,5.34057999,Cloned,0,0
2,M415M2256,1,6.36E+14,251Mi52684476,TRUE,39.5783005,5.3417902,Cloned,0,0
3,M41300715,1,6.36E+14,251MiMi1414880,TRUE,39.5783005,5.3417902,Cloned,0,0
4,M415M2256,1,6.36E+14,251Mi68262511,TRUE,39.5720024,5.33758402,Cloned,0,0
5,M41300715,1,6.36E+14,251Mi45847245,TRUE,39.5720024,5.33758402,Cloned,0,0
6,M415M2256,1,6.36E+14,251Mi41333Mi74,TRUE,39.5720024,5.33758402,Cloned,0,0
7,M41300715,1,6.36E+14,251Mi772Mi2813,TRUE,39.5720024,5.33758402,Cloned,0,0
8,M4676588M,1,6.36E+14,251Mi201Mi2030,TRUE,40.8654213,9.09004974,Cloned,0,0
9,M46764M87,1,6.36E+14,251Mi00327218,TRUE,40.8654213,9.09004974,Cloned,0,0
10,M45784587,1,6.36E+14,251Mi13030758,TRUE,40.8654213,9.09004974,Cloned,0,0
11,M45784586,1,6.36E+14,251Mi882Mi0Mi14,TRUE,40.8654213,9.09004974,Cloned,0,0
12,M457846M1,1,6.36E+14,251Mi77Mi33600,TRUE,40.8654213,9.09004974,Cloned,0,0
13,M4578457M,1,6.36E+14,251Mi42521182,TRUE,40.8654213,9.09004974,Cloned,0,0
14,M45784573,1,6.36E+14,251Mi5415773Mi,TRUE,40.8654213,9.09004974,Cloned,0,0
15,M45784572,1,6.36E+14,251Mi454Mi66Mi3,TRUE,40.8654213,9.09004974,Cloned,0,0
16,M46765255,1,6.36E+14,251Mi63548833,TRUE,40.8654213,9.09004974,Cloned,1,0
17,M46765245,1,6.36E+14,251Mi01374272,TRUE,40.8654213,9.09004974,Cloned,0,0
18,M45785740,1,6.36E+14,251Mi0062Mi828,TRUE,40.8654213,9.09004974,Cloned,0,0
19,M45785733,1,6.36E+14,251Mi2MiMi58377,TRUE,40.8654213,9.09004974,Cloned,0,0
20,M46766800,1,6.36E+14,251Mi11218213,FALSE,40.8654213,9.09004974,Cloned,0,0
21,M46765005,1,6.36E+14,251Mi30071065,FALSE,40.8654213,9.09004974,Cloned,0,0
22,M45787M07,1,6.36E+14,251Mi12106070,FALSE,40.8654213,9.09004974,Cloned,0,0
23,M45787M05,1,6.36E+14,251Mi13Mi43748,FALSE,40.8654213,9.09004974,Cloned,1,0
24,M46765M26,1,6.36E+14,251Mi322Mi5Mi65,FALSE,40.8654213,9.09004974,Cloned,0,0
